NatEmis,DataYear,Province,Official_Institution_Name,Status,Sector,Type_DoE,Phase_PED,Specialisation,EIDistrict,EICircuit,OwnerLand,OwnerBuild,ExDept,Persal_PaypointNo,Persal_ComponentNo,ExamNo,ExamCentre,GIS_Long,GIS_Lat,DMunName,LMunName,Ward_ID,SP_Code,SP_Name,Addressee,Township_Village,Suburb,Town_City,StreetAddress,PostalAddress,Email,Telephone,Section21,Section21_Function,Quintile,NAS,NodalArea,Registration_Date,NoFeeSchool,Urban_Rural,Allocation,Demarcation_From,Demarcation_To,OldNATEMIS,NewNATEMIS,Learners2025,Educators2025
700160135,2025,GT,ASSUMPTION CONVENT,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.12204361,-26.19879746,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700036,797008031,WYCHWOOD,ANTHEA WEINERLEIN,,MALVERN EAST,GERMISTON,"1, CNR. MULLINS ROAD AND PANDORA ROAD, , MALVERN EAST, GERMISTON",PO BOX 752127 GARDENVIEW 2047,,116165053,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700160135,99,393,33
700160184,2025,GT,BEDFORDVIEW HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY & TECHNICAL,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917112,917112,8160184,,28.12795354,-26.195706,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700020,797008019,BEDFORDVIEW,MPHO COLLINS TSHISUDI,BEDFORDVIEW,GERMISTON,JOHANNESBURG,"1, HEALEY ROAD, BEDFORDVIEW, GERMISTON, JOHANNESBURG",X 2 BEDFORDVIEW 2008,,825544750,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700160184,99,1152,44
700260810,2025,GT,SPARTAN HIGH SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,DEPARTMENT OF EDUCATION & TRAINING(DET),99,99,8260810,,28.222733,-26.116839,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700017,797006032,SPARTAN,LINDA LEONIE  OBERHOLZER,,SPARTAN,KEMPTON PARK,"6, 6 KELVIN STREET, , SPARTAN, KEMPTON PARK",P. O. BOX 8130 BIRCHLEIGH 1620,,113947719,NO,NONE,N/A,,NOT APPLICABLE,35293,NO,URBAN,,GT,NOT MOVED,700260810,99,393,20
700260836,2025,GT,IKUSASA COMPREHENSIVE SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917133,917133,8260836,,28.24001948,-26.00855661,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700004,797005036,MQANTSA,GLADWELL MAKHOBA,TEMBISA,KEMPTON PARK,KEMPTON PARK,"1, ISITHEBE SECTI0ON, TEMBISA, KEMPTON PARK, KEMPTON PARK",P.O. BOX 216 TEMBISA 1632,,110260137,YES,ACD,Q3,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260836,99,2593,79
700260877,2025,GT,INQAYIZIVELE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917134,917134,8260877,,28.21977739,-26.00035657,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700007,797005018,TSENOLONG,MOGOBE JOHANNES MAEBELA,TEMBISA,KEMPTON PARK,JOHANNESBURG,"156, TSENELONG SECTION LUANGWA STREET, TEMBISA, KEMPTON PARK, JOHANNESBURG",PO BOX 163 TEMBISA 1632,,101401415,YES,ACD,Q4,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260877,99,2087,64
700260976,2025,GT,JIYANA SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,4,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917136,917136,8260976,,28.18889329,-26.02009156,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700011,797005056,ENTSHONALANGA,RAMATSIMELA CONSTANCE LEDWABA,TEMBISA,KEMPTON PARK,KEMPTON PARK,"116, DAN NKABINDE ROAD, TEMBISA, KEMPTON PARK, KEMPTON PARK",P.O. BOX 105 TEMBISA 1632,,115684790,YES,ACD,Q4,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700260976,99,2334,70
700261057,2025,GT,MASIQHAKAZE SECONDARY SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,3,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917141,917141,8261057,,28.22428593,-26.0254484,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700014,797005059,EMFIHLWENI,ABAPFANI GEORGE MADZHADHZI,TEMBISA,,KEMPTON PARK,"459, SEPENG, TEMBISA, , KEMPTON PARK",213 TEMBISA 1628,,119258059,YES,ACD,Q4,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700261057,99,2319,70
700261065,2025,GT,MASISEBENZE COMPREHENSIVE SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY & TECHNICAL,EN001,3,PUBLIC,PUBLIC,DEPARTMENT OF EDUCATION & TRAINING(DET),917142,917142,8261065,,28.21488082,-26.02626485,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700014,797005060,JIYANA,TUMELO COLLEN SIBANDA,TEMBISA,KEMPTON PARK,JOHANNESBURG,"06, JIYANE, TEMBISA, KEMPTON PARK, JOHANNESBURG",104 TEMBISA 1628,,119257784,YES,ACD,Q4,,NOT APPLICABLE,,YES,URBAN,1754,GT,NOT MOVED,700261065,99,2531,79
700160291,2025,GT,DAWNVIEW HIGH SCHOOL,OPEN,PUBLIC,ORDINARY SCHOOL,SECONDARY SCHOOL,ORDINARY,EN001,1,PUBLIC,PUBLIC,HOUSE OF ASSEMBLY(HOA),917117,917117,8160291,,28.15856212,-26.18215672,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700036,797008028,DAWNVIEW,MOEKETSIE KOLOKOTO,DAWNVIEW,GERMISTON,GERMISTON,"70, ASSOCIATION ROAD, DAWNVIEW, GERMISTON, GERMISTON",P.O.BOX 2034 PRIMROSE 1416,,118289014,YES,ACD,Q5,,NOT APPLICABLE,,NO,URBAN,879,GT,NOT MOVED,700160291,99,931,37
700160366,2025,GT,DESTINY CHRISTIAN SCHOOL,OPEN,INDEPENDENT,ORDINARY SCHOOL,COMBINED SCHOOL,ORDINARY,EN001,1,INDEPENDENT,INDEPENDENT,HOUSE OF ASSEMBLY(HOA),99,99,,,28.20143983,-26.17980655,EKURHULENI METROPOLITAN MUNICIPALITY,EKURHULENI METROPOLITAN MUNICIPALITY,79700033,797010016,RAVENSKY,SANDRA MOODLEY,RAVENSKLIP,WITFIELD,BOKSBURG,"1, CORNER MIRANDA AND CABERNET ST, RAVENSKLIP, WITFIELD, BOKSBURG",P.O. BOX 13552 WITFIELD 1467,,118261497,NO,NONE,N/A,,NOT APPLICABLE,,NO,URBAN,,GT,NOT MOVED,700160366,99,162,11
